tid,attribute,correct_val
1633,sensor0,48.39
1633,sensor2,44.79
1633,sensor33,36.2
1634,sensor0,48.35
1634,sensor2,44.79
1634,sensor33,35.42
1635,sensor0,48.39
1635,sensor2,44.79
1635,sensor33,34.9
1636,sensor0,48.39
1636,sensor33,34.38
1637,sensor0,48.39
1637,sensor33,34.38
1638,sensor0,48.57
1638,sensor33,34.11
1789,sensor1,50.61
1789,sensor32,49.22
1790,sensor1,50.56
1790,sensor32,51.04
1791,sensor1,50.61
1791,sensor32,52.08
1792,sensor1,50.61
1792,sensor32,52.08
1793,sensor1,50.61
1793,sensor32,51.3
1794,sensor1,50.61
1794,sensor32,50.78
1795,sensor1,50.61
1795,sensor32,49.48
1796,sensor1,50.61
1796,sensor32,48.44
1797,sensor1,50.61
1797,sensor32,48.7
1798,sensor1,50.61
1798,sensor32,48.7
1799,sensor1,50.61
1799,sensor32,48.7
1800,sensor1,50.74
1800,sensor32,48.18
1801,sensor1,50.74
1801,sensor32,48.18
1802,sensor1,50.61
1802,sensor32,48.7
1803,sensor1,50.65
1803,sensor32,49.22
1804,sensor1,50.74
1804,sensor32,49.22
1805,sensor1,50.78
1805,sensor32,48.44
1806,sensor1,50.78
1806,sensor32,47.92
1807,sensor1,50.65
1807,sensor32,47.4
1808,sensor1,50.74
1808,sensor32,46.88
1809,sensor1,50.74
1809,sensor32,46.61
1810,sensor1,50.78
1810,sensor32,46.88
1811,sensor1,50.78
1811,sensor32,46.88
1812,sensor1,50.78
1812,sensor32,47.14
1813,sensor1,50.78
1813,sensor32,47.4
1814,sensor1,50.65
1814,sensor32,47.14
1815,sensor1,50.78
1815,sensor32,46.88
1816,sensor1,50.78
1816,sensor32,47.14
1817,sensor1,50.78
1817,sensor32,53.8
1818,sensor1,50.74
1818,sensor32,54.77
1819,sensor1,50.78
1819,sensor32,55.21
1843,sensor2,45.36
1843,sensor34,95.96
1844,sensor2,45.36
1844,sensor34,94.86
1845,sensor2,45.36
1845,sensor34,93.63
1846,sensor2,45.36
1846,sensor34,92.15
1847,sensor2,45.36
1847,sensor34,90.63
1848,sensor2,45.36
1848,sensor34,94.01
1849,sensor2,45.36
1849,sensor34,88.54
1850,sensor2,45.31
1850,sensor34,90.18
1851,sensor2,45.31
1851,sensor34,92.0
1852,sensor2,45.31
1852,sensor34,94.15
1853,sensor2,45.31
1853,sensor34,96.4
1854,sensor2,45.31
1854,sensor34,98.83
1855,sensor2,45.31
1855,sensor34,101.5
1856,sensor2,45.31
